                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.7339,                0.99835,                 1.0995,                0.71578,                      1,                0.81217,                0.68953,                0.78029,                 1.9121,                 1.3013,             0.00069313,             0.00069313,             0.00069313
                     48,                0.72985,                0.90916,                 1.0634,                0.71888,                      1,                0.81217,                0.65974,                0.80184,                 1.7812,                 1.3291,             0.00068075,             0.00068075,             0.00068075
                     49,                0.71212,                0.92057,                 1.0931,                0.71888,                      1,                0.81217,                0.65974,                0.80184,                 1.7812,                 1.3291,             0.00066838,             0.00066838,             0.00066838
                     50,                0.72075,                0.90253,                 1.1063,                0.71489,                      1,                0.83667,                0.68795,                0.78992,                 1.7338,                 1.2673,               0.000656,               0.000656,               0.000656
                     51,                0.69083,                0.85627,                 1.0541,                0.68216,                 0.9288,                0.83667,                0.69668,                0.79565,                 1.6592,                 1.2423,             0.00064362,             0.00064362,             0.00064362
                     52,                0.77781,                0.92156,                 1.1652,                0.66724,                0.98877,                0.86167,                0.69938,                0.82983,                 1.6921,                 1.2324,             0.00063125,             0.00063125,             0.00063125
                     53,                0.72081,                0.92379,                 1.1138,                0.66724,                0.98877,                0.86167,                0.69938,                0.82983,                 1.6921,                 1.2324,             0.00061887,             0.00061887,             0.00061887
                     54,                 0.7333,                0.92271,                 1.0985,                0.70968,                      1,                0.83667,                0.67941,                0.90162,                 1.5955,                 1.3075,              0.0006065,              0.0006065,              0.0006065
                     55,                0.71598,                0.92902,                 1.0608,                0.71389,                      1,                0.83667,                0.64041,                0.95322,                 1.5787,                 1.3915,             0.00059413,             0.00059413,             0.00059413
                     56,                0.77429,                0.99316,                 1.1055,                0.70782,                      1,                0.86167,                0.66245,                0.91364,                 1.5506,                 1.3489,             0.00058175,             0.00058175,             0.00058175
                     57,                0.71289,                0.90807,                 1.0602,                0.70782,                      1,                0.86167,                0.66245,                0.91364,                 1.5506,                 1.3489,             0.00056938,             0.00056938,             0.00056938
                     58,                0.71271,                0.90284,                 1.0939,                0.71505,                      1,                   0.92,                0.71421,                0.82586,                 1.6058,                 1.2478,               0.000557,               0.000557,               0.000557
                     59,                0.72541,                0.80766,                 1.0487,                0.70986,                      1,                0.86167,                0.66762,                0.79752,                 1.7492,                   1.19,             0.00054463,             0.00054463,             0.00054463
                     60,                0.71809,                0.89691,                  1.053,                0.70931,                      1,                0.86167,                0.65883,                0.75316,                 1.7726,                  1.153,             0.00053225,             0.00053225,             0.00053225
                     61,                0.72238,                0.83465,                 1.0959,                0.70931,                      1,                0.86167,                0.65883,                0.75316,                 1.7726,                  1.153,             0.00051988,             0.00051988,             0.00051988
                     62,                0.65378,                0.79525,                 1.0595,                0.69353,                0.90154,                0.83667,                0.63879,                0.78125,                  1.958,                 1.1594,              0.0005075,              0.0005075,              0.0005075
                     63,                0.65351,                0.78924,                 1.0442,                0.70684,                0.92598,                0.83667,                0.66276,                0.79406,                 1.9398,                 1.1726,             0.00049513,             0.00049513,             0.00049513
                     64,                0.71689,                0.85978,                 1.1034,                0.70081,                0.98655,                0.75417,                0.59505,                0.80122,                 1.9357,                 1.2229,             0.00048275,             0.00048275,             0.00048275
                     65,                0.70777,                 0.8448,                 1.0789,                0.70081,                0.98655,                0.75417,                0.59505,                0.80122,                 1.9357,                 1.2229,             0.00047038,             0.00047038,             0.00047038
